seed,model_key,model_label,backend_name,account_name_used,job_id,beta,n,train_m,layers,sigma,K,elite_frac,elite_total_count,elite_unseen_count,train_unique_count,shots,exact_kl,hardware_kl,kl_delta_hardware_minus_exact,transpiled_depth,transpiled_size,two_qubit_ops,exact_coverage_Q1000,hardware_coverage_Q1000,coverage_delta_Q1000,exact_coverage_Q2000,hardware_coverage_Q2000,coverage_delta_Q2000,exact_coverage_Q5000,hardware_coverage_Q5000,coverage_delta_Q5000
111,parity_global_best,IQP (parity) global-best,ibm_fez,default-ibm-quantum-platform,d7an0qqk86tc73a1ssg0,0.9,12,200,1,1.0,512,0.1,204,135,129,10000,0.4976586594357525,2.693449841316548,2.1957911818807956,260,426,99,0.07002231790629919,0.06014767404707455,-0.009874643859224638,0.04420432158447967,0.040940876206331925,-0.003263445378147746,0.021707931796868196,0.021250116230663592,-0.00045781556620460434
111,iqp_mse,IQP MSE,ibm_fez,default-ibm-quantum-platform,d7an0t1q1efs73d4c5jg,0.9,12,200,1,1.0,512,0.1,204,135,129,10000,0.4721735121018632,2.656699609456603,2.18452609735474,256,438,102,0.0778950775549819,0.061961585583818646,-0.015933491971163255,0.049153563813304574,0.04327628753884743,-0.005877276274457145,0.023613388169011165,0.02263579407392222,-0.0009775940950889454
112,parity_global_best,IQP (parity) global-best,ibm_fez,default-ibm-quantum-platform,d7an0vbc6das739kg280,0.9,12,200,1,1.0,512,0.1,204,132,118,10000,0.40839129050969836,3.107393177917239,2.6990018874075403,259,396,93,0.07057713551619546,0.05827971517887153,-0.012297420337323929,0.04452969111677666,0.03981703870396481,-0.004712652412811852,0.021839769012449356,0.020554388312674313,-0.0012853806997750426
112,iqp_mse,IQP MSE,ibm_fez,default-ibm-quantum-platform,d7an11ik86tc73a1sso0,0.9,12,200,1,1.0,512,0.1,204,132,118,10000,0.4337935129520417,2.778887174845259,2.345093661893217,255,462,105,0.06828203587662557,0.05749075813571906,-0.010791277740906512,0.044028712634606774,0.03966658516238083,-0.004362127472225946,0.021933404862186246,0.020444058537310315,-0.0014893463248759307
113,parity_global_best,IQP (parity) global-best,ibm_fez,default-ibm-quantum-platform,d7an142k86tc73a1ssrg,0.9,12,200,1,1.0,512,0.1,204,147,116,10000,0.5001729886560466,3.190958600357799,2.6907856117017523,253,404,90,0.0775216956686015,0.06100546974722092,-0.01651622592138058,0.0492977539797795,0.04247252146594995,-0.006825232513829549,0.024321374808483565,0.02265764871537722,-0.0016637260931063429
113,iqp_mse,IQP MSE,ibm_fez,default-ibm-quantum-platform,d7an169q1efs73d4c61g,0.9,12,200,1,1.0,512,0.1,204,147,116,10000,0.4490399685074582,3.0266939350106368,2.5776539665031786,255,462,105,0.07856348913634925,0.06323011630160412,-0.015333372834745132,0.050421671233521294,0.043508146773200265,-0.006913524460321029,0.024935781318118383,0.022733737403772495,-0.002202043914345888
114,parity_global_best,IQP (parity) global-best,ibm_fez,default-ibm-quantum-platform,d7an18jc6das739kg2ig,0.9,12,200,1,1.0,512,0.1,204,135,124,10000,0.45600476866709216,2.668233651886683,2.212228883219591,268,443,105,0.06943908238747375,0.05902899131113425,-0.010410091076339494,0.044384999739093524,0.041254898335067534,-0.0031301014040259895,0.022051700139831196,0.02166468596857797,-0.0003870141712532249
114,iqp_mse,IQP MSE,ibm_fez,default-ibm-quantum-platform,d7an1b1q1efs73d4c670,0.9,12,200,1,1.0,512,0.1,204,135,124,10000,0.36086275065368534,2.7600306490227435,2.399167898369058,253,415,96,0.07370439128777795,0.056252065216010325,-0.017452326071767624,0.04757176697197506,0.04077973124442859,-0.006792035727546469,0.02334036703946731,0.02199641887181373,-0.0013439481676535796
115,parity_global_best,IQP (parity) global-best,ibm_fez,default-ibm-quantum-platform,d7an1d9q1efs73d4c6b0,0.9,12,200,1,1.0,512,0.1,204,140,118,10000,0.43689530042804076,2.841260945563738,2.404365645135697,275,441,102,0.07798349067279824,0.05739044271537252,-0.02059304795742572,0.04966463952692298,0.04082854991032426,-0.008836089616598722,0.024252095205208875,0.022269958197592952,-0.0019821370076159237
115,iqp_mse,IQP MSE,ibm_fez,seedwise-open-plan,d7b87j15a5qc73dn58h0,0.9,12,200,1,1.0,512,0.1,204,140,118,10000,0.5919979842163346,2.7646433893902245,2.1726454051738897,252,457,105,0.06835080676485746,0.059674166168808655,-0.0086766405960488,0.04320577908291001,0.04090520423538838,-0.002300574847521629,0.02141400606592783,0.021639168030388116,0.00022516196446028744
116,parity_global_best,IQP (parity),ibm_fez,seedwise-open-plan,d7b87ljklj2c73eutnl0,0.9,12,200,1,1.0,512,0.1,204,144,107,10000,0.40983808455563064,2.8190279220569336,2.409189837501303,255,462,105,0.07684277540081282,0.06529676255562072,-0.011546012845192091,0.04898955989558068,0.04483382930083148,-0.004155730594749198,0.024230792200866314,0.023264540131675192,-0.0009662520691911224
116,iqp_mse,IQP MSE,ibm_fez,seedwise-open-plan,d7b87nu5nvhs73a30jng,0.9,12,200,1,1.0,512,0.1,204,144,107,10000,0.5518511089168345,3.3025313449590143,2.7506802360421796,253,442,105,0.07254760857102593,0.0607702107961919,-0.011777397774834032,0.04610634437881931,0.041578893087776556,-0.004527451291042754,0.023021353889146265,0.021749832206476083,-0.001271521682670182
117,parity_global_best,IQP (parity),ibm_fez,seedwise-open-plan,d7b87q65nvhs73a30jr0,0.9,12,200,1,1.0,512,0.1,204,133,121,10000,0.5162541471641445,2.9445986604263337,2.4283445132621893,250,399,90,0.06730322148997497,0.05251974422302296,-0.014783477266952012,0.042953407236689535,0.03678569537008458,-0.006167711866604954,0.02110723970938997,0.019545761466771224,-0.001561478242618746
117,iqp_mse,IQP MSE,ibm_fez,seedwise-open-plan,d7b87se5nvhs73a30jug,0.9,12,200,1,1.0,512,0.1,204,133,121,10000,0.5250827765343621,2.8369190362384895,2.3118362597041275,259,435,99,0.060950266334508334,0.051620184881924665,-0.009330081452583669,0.040118949118434645,0.03637474848405832,-0.0037442006343763254,0.020460435063649977,0.019460836443264212,-0.0009995986203857644
118,parity_global_best,IQP (parity),ibm_fez,seedwise-open-plan,d7b87um5nvhs73a30k1g,0.9,12,200,1,1.0,512,0.1,204,127,131,10000,0.38189240997465035,2.5343340953836004,2.15244168540895,266,423,102,0.07170436148449864,0.060297035312303106,-0.011407326172195538,0.04556962386729668,0.04126676484597465,-0.004302859021322034,0.02205963723396197,0.02129542243427912,-0.0007642147996828504
118,iqp_mse,IQP MSE,ibm_fez,seedwise-open-plan,d7b88165nvhs73a30k4g,0.9,12,200,1,1.0,512,0.1,204,127,131,10000,0.5179591947171425,2.697837773139315,2.179878578422173,265,472,108,0.06554388382221864,0.05709048852074075,-0.008453395301477887,0.042057007350303315,0.03996107703937064,-0.0020959303109326713,0.020696521840559565,0.020886590707422093,0.00019006886686252777
119,parity_global_best,IQP (parity),ibm_fez,seedwise-open-plan,d7b8833klj2c73euto6g,0.9,12,200,1,1.0,512,0.1,204,138,120,10000,0.47065212991250244,2.706729302953459,2.2360771730409565,256,416,96,0.0776561281400228,0.06135848745281503,-0.016297640687207772,0.048936961022941206,0.042524368885141245,-0.006412592137799961,0.023560424521085872,0.022221226722761805,-0.0013391977983240669
119,iqp_mse,IQP MSE,ibm_fez,seedwise-open-plan,d7b88595a5qc73dn599g,0.9,12,200,1,1.0,512,0.1,204,138,120,10000,0.5381169440727629,2.833769684713796,2.2956527406410334,267,475,111,0.06665376062074585,0.05714980588269251,-0.009503954738053343,0.04231139891697481,0.03972383137261228,-0.0025875675443625262,0.020988712005295344,0.020884018386254675,-0.00010469361904066887
120,parity_global_best,IQP (parity),ibm_fez,seedwise-open-plan,d7b88c15a5qc73dn59gg,0.9,12,200,1,1.0,512,0.1,204,135,127,10000,0.4377398496288411,3.0593272773497215,2.6215874277208804,256,425,99,0.06737440215692149,0.054298274785378055,-0.013076127371543435,0.04264085551555843,0.038592343883383465,-0.004048511632174963,0.021262783845338067,0.020647357572400996,-0.000615426272937071
120,iqp_mse,IQP MSE,ibm_fez,seedwise-open-plan,d7b88ebklj2c73eutomg,0.9,12,200,1,1.0,512,0.1,204,135,127,10000,0.375588224151702,3.0863388859901577,2.7107506618384556,262,416,96,0.07373971827977854,0.05732445264165994,-0.016415265638118605,0.04617592454659949,0.041104198656704685,-0.005071725889894803,0.022281505600507782,0.022009986395006367,-0.0002715192055014158
